Id,SourceId,Source,Comment,W,L,G,PossibleDuplicate,SuspiciousWeight
629,X70,Crawford,Male,18.00,42.00,17.00,0,0
630,Y30,Crawford,,18.00,40.00,17.00,0,0
631,N05,Crawford,,18.00,42.00,17.50,0,0
632,N42,Crawford,,18.00,40.00,19.00,0,0
633,X45,Crawford,,17.50,39.50,18.00,0,0
634,X66,Crawford,,17.50,41.50,18.00,0,0
635,X84,Crawford,,17.50,42.00,18.50,0,0
636,Y34,Crawford,,17.50,40.00,17.50,0,0
637,N31,Crawford,,17.50,42.50,18.00,0,0
638,N35,Crawford,Hybrid Male,17.50,41.00,17.25,0,0
639,L08,Crawford,,17.00,40.00,18.50,0,0
640,M23,Crawford,,17.00,41.50,17.25,0,0
641,X24,Crawford,,17.00,41.50,17.00,0,0
642,X54,Crawford,,17.00,41.50,18.00,0,0
643,X62,Crawford,,17.00,39.00,17.00,0,0
644,N15,Crawford,Male,17.00,40.00,17.00,0,0
645,N24,Crawford,Male,17.00,40.00,17.00,0,0
646,N27,Crawford,,17.00,40.00,17.00,0,0
647,N39,Crawford,,17.00,40.00,15.00,0,0
648,N64,Crawford,,17.00,38.50,18.00,0,0
649,X18,Crawford,,16.50,40.00,16.50,0,0
650,L43,Crawford,,16.00,40.00,17.50,0,0
651,X34,Crawford,,16.00,40.50,17.50,0,0
652,Y10,Crawford,,16.00,39.00,17.00,0,0
653,N22,Crawford,,16.00,39.50,17.00,0,0
654,X37,Crawford,,15.50,40.00,17.25,0,0
655,L09,Crawford,,15.25,39.00,16.00,0,0
656,L64,Crawford,,15.00,39.00,17.25,0,0
657,M11,Crawford,,15.00,38.50,17.00,0,0
658,M28,Crawford,,15.00,39.00,17.00,0,0
659,X19,Crawford,,15.00,38.50,16.00,0,0
660,X20,Crawford,,15.00,38.50,16.50,0,0
661,N06,Crawford,,15.00,39.00,17.25,0,0
662,N14,Crawford,,15.00,39.00,17.25,0,0
663,L19,Crawford,,14.50,38.00,17.50,0,0
664,M14,Crawford,,14.50,39.00,16.25,0,0
665,X47,Crawford,Hybrid,14.50,39.50,16.00,0,0
666,Y22,Crawford,,14.50,40.00,16.00,0,0
667,L44,Crawford,,14.00,37.00,16.75,0,0
668,X04,Crawford,,14.00,39.50,16.00,0,0
669,X32,Crawford,,14.00,39.00,16.00,0,0
670,X46,Crawford,,14.00,38.00,15.00,0,0
671,X71,Crawford,,14.00,38.50,16.00,0,0
672,Y17,Crawford,,14.00,38.50,15.00,0,0
673,N67,Crawford,Male,14.00,38.00,15.25,0,0
674,N73,Crawford,,14.00,39.00,15.00,0,0
675,N32,Crawford,Male,13.75,37.50,15.00,0,0
676,M29,Crawford,,13.50,37.50,17.50,0,0
677,X21,Crawford,,13.50,38.00,15.00,0,0
678,N10,Crawford,,13.50,38.00,16.00,0,0
679,N21,Crawford,Male,13.50,38.50,16.00,0,0
680,N28,Crawford,11?,13.50,38.00,11.00,0,0
681,N53,Crawford,Male,13.50,35.00,14.50,0,0
682,N59,Crawford,,13.50,38.00,15.75,0,0
683,X80,Crawford,,13.25,35.50,14.00,0,0
684,N09,Crawford,Male,13.25,38.00,15.50,0,0
685,L20,Crawford,,13.00,36.00,16.75,0,0
686,L47,Crawford,,13.00,37.00,16.00,0,0
687,L72,Crawford,Hybrid,13.00,38.00,16.00,0,0
688,M22,Crawford,,13.00,37.00,17.00,0,0
689,N25,Crawford,,13.00,37.00,15.00,0,0
690,L07,Crawford,,12.50,36.00,15.50,0,0
691,L36,Crawford,,12.50,36.00,12.50,0,0
692,L40,Crawford,Hybrid,12.50,38.50,17.00,0,0
693,L52,Crawford,,12.50,37.00,16.00,0,0
694,X02,Crawford,,12.50,38.00,16.50,0,0
695,X67,Crawford,,12.50,35.00,15.50,0,0
696,Y21,Crawford,,12.50,38.00,14.00,0,0
697,N08,Crawford,Male,12.50,37.50,15.25,0,0
698,Y12,Crawford,Hybrid,12.25,36.50,15.00,0,0
699,L01,Crawford,,12.00,36.50,16.00,0,0
700,L51,Crawford,,12.00,36.50,16.50,0,0
701,X68,Crawford,,12.00,34.50,15.00,0,0
702,N13,Crawford,,12.00,37.00,14.50,0,0
703,N33,Crawford,Male,12.00,32.00,13.00,0,0
704,L29,Crawford,,11.50,36.00,16.00,0,0
705,N18,Crawford,Male,11.50,37.00,14.50,0,0
706,N20,Crawford,Male,11.50,35.50,14.00,0,0
707,X51,Crawford,,11.25,37.50,15.00,0,0
708,Y02,Crawford,,11.25,34.00,14.00,0,0
709,L12,Crawford,,11.00,37.50,16.50,0,0
710,L16,Crawford,,11.00,34.50,13.25,0,0
711,L49,Crawford,,11.00,37.00,15.25,0,0
712,X78,Crawford,,11.00,36.50,16.50,0,0
713,N72,Crawford,,11.00,36.50,14.00,0,0
714,L71,Crawford,,10.75,35.00,14.25,0,0
715,X09,Crawford,,10.75,38.50,17.00,0,0
716,X15,Crawford,,10.75,36.00,15.50,0,0
717,X43,Crawford,,10.50,37.00,14.50,0,0
718,Y28,Crawford,,10.50,33.50,13.75,0,0
719,N75,Crawford,Male,10.50,34.00,13.00,0,0
720,Y26,Crawford,,10.25,34.50,13.00,0,0
721,L35,Crawford,,10.00,35.00,15.00,0,0
722,M03,Crawford,Male,10.00,36.00,15.00,0,0
723,M20,Crawford,,10.00,37.00,16.00,0,0
724,X36,Crawford,,10.00,35.00,15.00,0,0
725,Y07,Crawford,Hybrid,10.00,35.00,14.25,0,0
726,Y09,Crawford,,10.00,33.50,13.25,0,0
727,Y29,Crawford,,10.00,33.00,13.50,0,0
